neighbourhood,neighbourhood_cleansed,has_availability,first_review,instant_bookable
0,Entrepôt,t,2019-01-02,f
"Paris, Île-de-France, France",Observatoire,t,2016-12-27,f
"Paris, Ile-de-France, France",Hôtel-de-Ville,t,2009-06-30,f
0,Hôtel-de-Ville,t,2011-04-08,f
0,Opéra,t,2010-05-10,f
0,Louvre,t,0,f
"Paris, Ile-de-France, France",Popincourt,t,2013-03-19,t
"Paris, Ile-de-France, France",Buttes-Montmartre,t,2009-12-20,f
"Paris, Ile-de-France, France",Buttes-Montmartre,t,2011-03-13,f
0,Panthéon,t,2009-09-28,f
"Paris, Île-de-France, France",Entrepôt,t,2015-07-03,f
"Paris, Île-de-France, France",Buttes-Montmartre,t,2016-06-12,f
"Paris, Île-de-France, France",Gobelins,t,2012-09-21,f
0,Popincourt,t,2010-11-16,t
0,Popincourt,t,2010-05-28,f
"Paris 11e Arrondissement, Île-de-France, France",Popincourt,t,2018-05-01,t
0,Buttes-Montmartre,t,2013-01-05,f
"Paris, IDF, France",Buttes-Montmartre,t,2011-02-02,t
0,Buttes-Montmartre,t,2010-01-02,f
"Paris, Ile-de-France, France",Gobelins,t,2014-07-04,f
"Paris, Île-de-France, France",Hôtel-de-Ville,t,2010-03-18,f
"Paris, Ile-de-France, France",Luxembourg,t,2010-02-28,f
"Paris, Île-de-France, France",Buttes-Chaumont,t,2014-08-31,t
"Paris, Île-de-France, France",Entrepôt,t,2018-08-01,f
"Paris, Île-de-France, France",Opéra,t,2010-08-02,f
"Paris, Île-de-France, France",Opéra,t,2010-05-30,f
0,Louvre,t,2010-01-26,f
"Paris, Ile-de-France, France",Buttes-Montmartre,t,2013-06-09,f
"Paris, Île-de-France, France",Opéra,t,2010-12-16,f
0,Buttes-Montmartre,t,2010-02-14,f
"Paris, Île-de-France, France",Panthéon,t,2010-03-08,f
0,Palais-Bourbon,t,2010-03-07,f
"Paris, Île-de-France, France",Panthéon,t,2010-04-05,t
"Paris, Ile-de-France, France",Reuilly,t,2010-03-25,f
"Paris, Île-de-France, France",Buttes-Montmartre,t,2010-04-06,f
"Paris, Île-de-France, France",Panthéon,t,2010-05-19,t
"Paris, Ile-de-France, France",Popincourt,t,2010-07-31,f
0,Buttes-Montmartre,t,2010-03-27,f
"Paris, Ile-de-France, France",Bourse,t,2010-05-06,f
"Paris, Île-de-France, France",Bourse,t,2010-09-03,f
"Paris, Ile-de-France, France",Élysée,t,2012-11-15,f
0,Hôtel-de-Ville,t,2010-05-24,f
0,Buttes-Montmartre,t,2010-04-04,f
0,Ménilmontant,t,2017-07-07,f
